conflict_name,date_start,date_end,conflict_duration_days,type_of_violence,total_fatalities
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/29/2014,9/29/2014,0,3,20
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/29/2014,9/29/2014,0,3,20
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/1/2014,10/1/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/18/2014,10/18/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/18/2014,10/18/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/18/2014,10/18/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/19/2014,10/19/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/20/2014,10/20/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/22/2014,10/22/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/23/2014,10/23/2014,0,3,17
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/26/2014,10/26/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/27/2014,10/27/2014,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/29/2014,10/29/2014,0,3,24
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/29/2014,10/29/2014,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/31/2014,10/31/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/2/2014,11/2/2014,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/3/2014,11/3/2014,0,3,30
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/4/2014,11/4/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/5/2014,11/5/2014,0,3,16
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/5/2014,11/5/2014,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/5/2014,11/5/2014,0,3,7
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/7/2014,11/7/2014,0,3,14
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/9/2014,11/9/2014,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/9/2014,11/9/2014,0,3,15
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/10/2014,11/10/2014,0,3,49
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/11/2014,11/11/2014,0,3,10
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/12/2014,11/12/2014,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/19/2014,7/19/2014,0,3,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/19/2014,7/19/2014,0,3,60
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/22/2014,7/22/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/23/2014,7/23/2014,0,3,11
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/23/2014,7/23/2014,0,3,31
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/23/2014,7/23/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/24/2014,7/24/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/24/2014,7/24/2014,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/27/2014,7/27/2014,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/27/2014,7/27/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/27/2014,7/27/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/27/2014,7/27/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/28/2014,7/28/2014,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/28/2014,7/28/2014,0,3,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/29/2014,7/29/2014,0,3,13
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,7/31/2014,7/31/2014,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/5/2014,8/5/2014,0,3,600
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/7/2014,8/7/2014,0,3,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/10/2014,8/10/2014,0,3,10
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/17/2014,8/17/2014,0,3,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/17/2014,8/17/2014,0,3,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/21/2014,8/21/2014,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/27/2014,8/27/2014,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/28/2014,8/28/2014,0,3,14
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/4/2014,9/4/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/3/2014,6/3/2014,0,3,42
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/3/2014,6/3/2014,0,3,20
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/3/2014,6/3/2014,0,3,24
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/3/2014,6/3/2014,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/4/2014,6/4/2014,0,3,45
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/7/2014,6/7/2014,0,3,19
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/7/2014,6/7/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/9/2014,6/9/2014,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/9/2014,6/9/2014,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/15/2014,6/15/2014,0,3,25
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,6/17/2014,6/17/2014,0,3,21
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/3/2015,3/3/2015,0,3,68
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/4/2015,3/4/2015,0,3,9
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/7/2015,3/7/2015,0,3,58
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/9/2015,3/9/2015,0,3,12
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/10/2015,3/10/2015,0,3,18
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/20/2016,8/20/2016,0,3,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/21/2016,8/21/2016,0,3,11
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,8/21/2016,8/21/2016,0,3,11
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/10/2016,9/10/2016,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/18/2016,9/18/2016,0,3,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/19/2016,9/19/2016,0,3,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/25/2016,9/25/2016,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/26/2016,9/26/2016,0,3,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,9/26/2016,9/26/2016,0,3,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/10/2016,10/10/2016,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/12/2016,10/12/2016,0,3,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,10/29/2016,10/29/2016,0,3,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/8/2016,11/8/2016,0,3,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/8/2016,11/8/2016,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/14/2016,11/14/2016,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/14/2016,11/14/2016,0,3,9
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/15/2016,11/15/2016,0,3,13
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/23/2016,11/23/2016,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/23/2016,11/23/2016,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/23/2016,11/23/2016,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/9/2016,12/9/2016,0,3,45
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/11/2016,12/11/2016,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/8/2017,1/8/2017,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/13/2017,1/13/2017,0,3,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/14/2017,1/14/2017,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/16/2017,1/16/2017,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/23/2017,1/23/2017,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/28/2017,1/28/2017,0,3,24
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/31/2017,1/31/2017,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2/9/2017,2/9/2017,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2/11/2017,2/11/2017,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2/13/2017,2/13/2017,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2/15/2017,2/15/2017,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2/17/2017,2/17/2017,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2/19/2017,2/19/2017,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2/22/2017,2/22/2017,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/15/2017,3/15/2017,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/22/2017,3/22/2017,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/22/2017,3/22/2017,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/30/2017,3/30/2017,0,3,12
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/30/2017,3/30/2017,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,3/31/2017,3/31/2017,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,4/5/2017,4/5/2017,0,3,7
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,4/8/2017,4/8/2017,0,3,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,4/8/2017,4/8/2017,0,3,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,5/13/2017,5/13/2017,0,3,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,5/15/2017,5/15/2017,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,5/19/2017,5/19/2017,0,3,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,5/20/2017,5/20/2017,0,3,7
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/15/2014,11/15/2014,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/16/2014,11/16/2014,0,3,13
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/19/2014,11/19/2014,0,3,53
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/20/2014,11/20/2014,0,3,48
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/24/2014,11/24/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/24/2014,11/24/2014,0,3,10
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/24/2014,11/24/2014,0,3,10
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/25/2014,11/25/2014,0,3,45
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/28/2014,11/28/2014,0,3,91
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,11/29/2014,11/29/2014,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/1/2014,12/1/2014,0,3,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/10/2014,12/10/2014,0,3,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/10/2014,12/10/2014,0,3,11
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/11/2014,12/11/2014,0,3,40
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/12/2014,12/12/2014,0,3,24
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/14/2014,12/14/2014,0,3,200
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/16/2014,12/16/2014,0,3,10
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/19/2014,12/19/2014,0,3,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/21/2014,12/21/2014,0,3,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/22/2014,12/22/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/22/2014,12/22/2014,0,3,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/28/2014,12/28/2014,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/29/2014,12/29/2014,0,3,15
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/31/2014,12/31/2014,0,3,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,12/31/2014,12/31/2014,0,3,7
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/1/2015,1/1/2015,0,3,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/4/2015,1/4/2015,0,3,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/6/2015,1/6/2015,0,3,36
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/7/2015,1/7/2015,0,3,26
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/10/2015,1/10/2015,0,3,13
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/11/2015,1/11/2015,0,3,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/16/2015,1/16/2015,0,3,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1/18/2015,1/18/2015,0,3,5
Government of Nigeria - Civilians,4/4/2005,4/4/2005,0,3,1
Government of Nigeria - Civilians,7/25/2005,7/25/2005,0,3,1
Government of Nigeria - Civilians,11/7/2005,11/7/2005,0,3,0
Government of Nigeria - Civilians,12/5/2005,12/5/2005,0,3,3
Government of Nigeria - Civilians,12/5/2005,12/5/2005,0,3,4
Government of Nigeria - Civilians,11/11/2001,11/11/2001,0,3,0
Government of Nigeria - Civilians,2/5/2002,2/5/2002,0,3,11
Government of Nigeria - Civilians,3/9/2004,3/9/2004,0,3,0
Government of Nigeria - Civilians,3/14/2004,3/14/2004,0,3,6
Government of Nigeria - Civilians,5/12/2004,5/12/2004,0,3,24
Government of Nigeria - Civilians,11/3/2004,11/3/2004,0,3,0
Government of Nigeria - Civilians,11/20/2004,11/20/2004,0,3,7
Government of Nigeria - Civilians,1/13/2005,1/13/2005,0,3,1
Government of Nigeria - Civilians,2/4/2005,2/4/2005,0,3,1
Government of Nigeria - Civilians,11/21/2002,11/21/2002,0,3,1
Government of Nigeria - Civilians,11/21/2002,11/21/2002,0,3,11
Government of Nigeria - Civilians,11/22/2002,11/22/2002,0,3,1
Government of Nigeria - Civilians,11/22/2002,11/22/2002,0,3,2
Government of Nigeria - Civilians,11/22/2002,11/22/2002,0,3,11
Government of Nigeria - Civilians,11/22/2002,11/22/2002,0,3,1
Government of Nigeria - Civilians,11/22/2002,11/22/2002,0,3,4
Government of Nigeria - Civilians,11/22/2002,11/22/2002,0,3,2
Government of Nigeria - Civilians,11/22/2002,11/22/2002,0,3,1
Government of Nigeria - Civilians,11/23/2002,11/23/2002,0,3,1
Government of Nigeria - Civilians,11/23/2002,11/23/2002,0,3,1
Government of Nigeria - Civilians,1/19/2003,1/19/2003,0,3,1
Government of Nigeria - Civilians,1/31/2003,1/31/2003,0,3,3
Government of Nigeria - Civilians,2/20/2003,2/20/2003,0,3,1
Government of Nigeria - Civilians,3/31/2003,3/31/2003,0,3,3
Government of Nigeria - Civilians,4/19/2003,4/19/2003,0,3,10
Government of Nigeria - Civilians,7/7/2003,7/7/2003,0,3,15
Government of Nigeria - Civilians,7/12/2003,7/12/2003,0,3,7
Government of Nigeria - Civilians,8/1/2003,8/1/2003,0,3,1
Government of Nigeria - Civilians,11/2/2001,11/2/2001,0,3,2
Government of Nigeria - Civilians,10/29/1999,10/29/1999,0,3,0
Government of Nigeria - Civilians,12/6/2001,12/6/2001,0,3,3
Government of Nigeria - Civilians,1/24/2002,1/24/2002,0,3,2
Government of Nigeria - Civilians,5/29/2002,5/29/2002,0,3,10
Government of Nigeria - Civilians,5/29/2002,5/29/2002,0,3,10
Government of Nigeria - Civilians,5/30/2002,5/30/2002,0,3,8
Government of Nigeria - Civilians,11/21/2002,11/21/2002,0,3,2
Government of Nigeria - Civilians,11/21/2002,11/21/2002,0,3,1
Government of Nigeria - Civilians,11/21/2002,11/21/2002,0,3,1
Government of Nigeria - Civilians,11/21/2002,11/21/2002,0,3,4
Government of Nigeria - Civilians,11/21/2002,11/21/2002,0,3,1
Government of Nigeria - Civilians,1/11/2000,1/11/2000,0,3,2
Government of Nigeria - Civilians,3/20/2000,3/20/2000,0,3,0
Government of Nigeria - Civilians,5/23/2000,5/23/2000,0,3,7
Government of Nigeria - Civilians,5/23/2000,5/23/2000,0,3,0
Government of Nigeria - Civilians,6/13/2000,6/13/2000,0,3,1
Government of Nigeria - Civilians,7/5/2000,7/5/2000,0,3,0
Government of Nigeria - Civilians,11/9/2000,11/9/2000,0,3,1
Government of Nigeria - Civilians,5/28/2001,5/28/2001,0,3,36
Government of Nigeria - Civilians,7/9/2001,7/9/2001,0,3,1
Government of Nigeria - Civilians,10/1/2001,10/1/2001,0,3,25
Government of Nigeria - Civilians,10/1/2001,10/1/2001,0,3,25
Government of Nigeria - Civilians,10/4/2001,10/4/2001,0,3,25
Government of Nigeria - Civilians,10/4/2001,10/4/2001,0,3,25
Government of Nigeria - Civilians,10/15/2001,10/15/2001,0,3,0
Government of Nigeria - Civilians,10/22/2001,10/22/2001,0,3,17
Government of Nigeria - Civilians,10/22/2001,10/22/2001,0,3,6
Government of Nigeria - Civilians,10/22/2001,10/22/2001,0,3,1
Government of Nigeria - Civilians,10/22/2001,10/22/2001,0,3,150
Government of Nigeria - Civilians,10/23/2001,10/23/2001,0,3,2
Government of Nigeria - Civilians,10/23/2001,10/23/2001,0,3,5
Nigeria: Government,12/8/2021,12/8/2021,0,1,3
Nigeria: Northern Nigeria,12/22/2003,12/22/2003,0,1,1
Nigeria: Northern Nigeria,1/1/2004,1/1/2004,0,1,20
Nigeria: Northern Nigeria,1/2/2004,1/2/2004,0,1,1
Nigeria: Northern Nigeria,1/5/2004,1/5/2004,0,1,0
Nigeria: Northern Nigeria,9/20/2004,9/20/2004,0,1,4
Nigeria: Northern Nigeria,9/20/2004,9/20/2004,0,1,4
Nigeria: Northern Nigeria,9/23/2004,9/23/2004,0,1,30
Nigeria: Northern Nigeria,10/8/2004,10/8/2004,0,1,15
Nigeria: Niger Delta,6/4/2004,6/4/2004,0,1,15
Nigeria: Niger Delta,6/4/2004,6/4/2004,0,1,30
Nigeria: Niger Delta,7/8/2004,7/8/2004,0,1,15
Nigeria: Government,2/9/2021,2/9/2021,0,1,3
Nigeria: Government,2/12/2021,2/12/2021,0,1,2
Nigeria: Government,2/23/2021,2/23/2021,0,1,16
Nigeria: Government,3/6/2021,3/6/2021,0,1,3
Nigeria: Government,3/23/2021,3/23/2021,0,1,0
Nigeria: Government,3/27/2021,3/27/2021,0,1,9
Nigeria: Government,3/27/2021,3/27/2021,0,1,39
Government of Nigeria - Civilians,5/24/1994,5/24/1994,0,3,5
Government of Nigeria - Civilians,6/4/1994,6/4/1994,0,3,2
Government of Nigeria - Civilians,6/12/1994,6/12/1994,0,3,5
Government of Nigeria - Civilians,7/7/1994,7/7/1994,0,3,1
Government of Nigeria - Civilians,7/28/1994,7/28/1994,0,3,2
Government of Nigeria - Civilians,8/3/1994,8/3/1994,0,3,3
Government of Nigeria - Civilians,8/24/1995,8/24/1995,0,3,1
Government of Nigeria - Civilians,1/4/1996,1/4/1996,0,3,3
Government of Nigeria - Civilians,1/10/1996,1/10/1996,0,3,1
Government of Nigeria - Civilians,3/30/1996,3/30/1996,0,3,1
Government of Nigeria - Civilians,7/12/1997,7/12/1997,0,3,1
Government of Nigeria - Civilians,9/30/1997,9/30/1997,0,3,3
Government of Nigeria - Civilians,1/4/1998,1/4/1998,0,3,1
Government of Nigeria - Civilians,4/15/1998,4/15/1998,0,3,0
Government of Nigeria - Civilians,5/28/1998,5/28/1998,0,3,3
Government of Nigeria - Civilians,6/20/1998,6/20/1998,0,3,14
Government of Nigeria - Civilians,7/7/1993,7/7/1993,0,3,2
Government of Nigeria - Civilians,1/2/1999,1/2/1999,0,3,1
Government of Nigeria - Civilians,1/2/1999,1/2/1999,0,3,1
Government of Nigeria - Civilians,2/5/1992,2/5/1992,0,3,1
Nigeria: Government,1/29/2021,1/29/2021,0,1,7
Government of Nigeria - Civilians,1/2/1999,1/2/1999,0,3,2
Government of Nigeria - Civilians,1/4/1999,1/4/1999,0,3,2
Government of Nigeria - Civilians,1/4/1999,1/4/1999,0,3,2
Government of Nigeria - Civilians,2/3/1999,2/3/1999,0,3,2
Government of Nigeria - Civilians,2/6/1999,2/6/1999,0,3,3
Government of Nigeria - Civilians,3/14/1999,3/14/1999,0,3,1
Government of Nigeria - Civilians,4/19/1999,4/19/1999,0,3,8
Nigeria: Government,4/4/2021,4/4/2021,0,1,11
Nigeria: Government,4/5/2021,4/5/2021,0,1,4
Nigeria: Government,4/10/2021,4/10/2021,0,1,3
Nigeria: Government,5/11/2021,5/11/2021,0,1,9
Nigeria: Government,6/20/2021,6/20/2021,0,1,6
Nigeria: Niger Delta,9/16/2004,9/16/2004,0,1,5
Nigeria: Niger Delta,4/27/2009,4/27/2009,0,1,0
Government of Cameroon - Civilians,1/7/1994,1/7/1994,0,3,0
Government of Cameroon - Civilians,12/7/2011,12/7/2011,0,3,3
Government of Nigeria - Civilians,7/18/1998,7/18/1998,0,3,1
Government of Nigeria - Civilians,8/5/1998,8/5/1998,0,3,1
Government of Nigeria - Civilians,9/12/1998,9/12/1998,0,3,0
Government of Nigeria - Civilians,9/18/1998,9/18/1998,0,3,0
Government of Nigeria - Civilians,9/26/1998,9/26/1998,0,3,3
Government of Nigeria - Civilians,12/30/1998,12/30/1998,0,3,6
Government of Nigeria - Civilians,12/31/1998,12/31/1998,0,3,10
Government of Nigeria - Civilians,12/31/1998,12/31/1998,0,3,3
Government of Nigeria - Civilians,1/1/1999,1/1/1999,0,3,0
Ezza - Korri,3/9/2021,3/9/2021,0,2,6
Ezza - Korri,3/25/2021,3/25/2021,0,2,16
Ezza - Korri,6/18/2021,6/18/2021,0,2,5
Ezza - Korri,6/18/2021,6/18/2021,0,2,5
Nigeria: Government,12/6/2020,12/6/2020,0,1,4
Nigeria: Government,12/7/2020,12/7/2020,0,1,1
Nigeria: Government,12/7/2020,12/7/2020,0,1,1
Nigeria: Government,12/8/2020,12/8/2020,0,1,4
Nigeria: Government,12/8/2020,12/8/2020,0,1,3
Nigeria: Government,12/10/2020,12/10/2020,0,1,3
Nigeria: Government,12/28/2020,12/28/2020,0,1,3
Nigeria: Government,1/3/2021,1/3/2021,0,1,7
Nigeria: Government,1/3/2021,1/3/2021,0,1,1
Nigeria: Government,1/5/2021,1/5/2021,0,1,5
Nigeria: Government,1/6/2021,1/6/2021,0,1,1
Nigeria: Government,1/14/2021,1/14/2021,0,1,3
Nigeria: Government,1/14/2021,1/14/2021,0,1,5
Nigeria: Government,1/20/2021,1/20/2021,0,1,40
Atyap - Fulani,8/21/2021,8/21/2021,0,2,9
Atyap - Fulani,1/17/2020,1/17/2020,0,2,0
Atyap - Fulani,12/17/2020,12/17/2020,0,2,7
Atyap - Fulani,12/19/2020,12/19/2020,0,2,7
Bonta Boys - Civilians,8/17/2021,8/17/2021,0,3,2
Atyap - Fulani,11/10/2021,11/10/2021,0,2,5
Atyap - Fulani,11/10/2021,11/10/2021,0,2,3
Atyap - Fulani,9/12/2021,9/12/2021,0,2,11
Atyap - Fulani,9/12/2021,9/12/2021,0,2,1
Ichen - Tiv,5/2/2020,5/2/2020,0,2,2
Ichen - Tiv,5/5/2020,5/5/2020,0,2,3
Ichen - Tiv,5/10/2020,5/10/2020,0,2,8
Ichen - Tiv,6/1/2020,6/1/2020,0,2,2
Lunguda - Waja,4/12/2021,4/12/2021,0,2,7
Lunguda - Waja,4/12/2021,4/12/2021,0,2,8
Hausa - Kadara,10/18/2018,10/18/2018,0,2,55
Hausa - Kadara,10/21/2018,10/21/2018,0,2,26
Ikurav (Tiv) - Shitile (Tiv),4/19/2019,4/19/2019,0,2,6
Ikurav (Tiv) - Shitile (Tiv),4/19/2019,4/19/2019,0,2,5
Ikurav (Tiv) - Shitile (Tiv),8/17/2019,8/17/2019,0,2,7
Ikurav (Tiv) - Shitile (Tiv),8/17/2019,8/17/2019,0,2,4
Ikurav (Tiv) - Shitile (Tiv),8/17/2019,8/17/2019,0,2,5
Abugbe (Agatu) - Agbaduma (Agatu),6/30/2019,6/30/2019,0,2,25
Abugbe (Agatu) - Agbaduma (Agatu),6/13/2021,6/13/2021,0,2,9
